fila_csv,motivo,ficha,establecimiento
206092,FICHA_NO_EXISTE,115188,1
206632,FICHA_NO_EXISTE,129818,2
206832,FICHA_NO_EXISTE,115006,1
206931,FICHA_NO_EXISTE,170983,2
207023,FICHA_NO_EXISTE,122950,3
208157,FICHA_NO_EXISTE,128827,3
208500,FICHA_NO_EXISTE,191869,2
209321,FICHA_NO_EXISTE,49123,1
209841,FICHA_NO_EXISTE,152143,2
209981,FICHA_NO_EXISTE,122950,3
210383,FICHA_NO_EXISTE,170983,2
210456,FICHA_NO_EXISTE,197538,2
210481,FICHA_NO_EXISTE,160618,2
210566,FICHA_NO_EXISTE,113811,3
211625,FICHA_NO_EXISTE,26536,3
212029,FICHA_NO_EXISTE,49936,3
212061,FICHA_NO_EXISTE,9946,3
212515,FICHA_NO_EXISTE,108426,3
213201,FICHA_NO_EXISTE,129818,2
213692,FICHA_NO_EXISTE,197783,2
213780,FICHA_NO_EXISTE,170983,2
215526,FICHA_NO_EXISTE,197538,2
216335,FICHA_NO_EXISTE,129818,2
216363,FICHA_NO_EXISTE,122950,3
216616,FICHA_NO_EXISTE,9946,3
217194,FICHA_NO_EXISTE,144224,2
218966,FICHA_NO_EXISTE,129818,2
219228,FICHA_NO_EXISTE,18310,1
219414,FICHA_NO_EXISTE,113860,1
219678,FICHA_NO_EXISTE,198104,2
220608,FICHA_NO_EXISTE,91519,2
221682,FICHA_NO_EXISTE,3568,3
222170,FICHA_NO_EXISTE,98819,1
222255,FICHA_NO_EXISTE,78144,1
223455,FICHA_NO_EXISTE,170983,2
223991,FICHA_NO_EXISTE,9946,3
224144,FICHA_NO_EXISTE,733,3
224437,FICHA_NO_EXISTE,3568,3
224632,FICHA_NO_EXISTE,5303,2
224955,FICHA_NO_EXISTE,129818,2
225064,FICHA_NO_EXISTE,197538,2
226288,FICHA_NO_EXISTE,198461,2
227790,FICHA_NO_EXISTE,197129,2
227792,FICHA_NO_EXISTE,196138,2
228242,FICHA_NO_EXISTE,113811,3
229293,FICHA_NO_EXISTE,198613,2
229586,FICHA_NO_EXISTE,123030,3
229858,FICHA_NO_EXISTE,121340,3
230586,FICHA_NO_EXISTE,60808,2
230588,FICHA_NO_EXISTE,129818,2
230766,FICHA_NO_EXISTE,144224,2
231303,FICHA_NO_EXISTE,197538,2
232047,FICHA_NO_EXISTE,121340,3
233115,FICHA_NO_EXISTE,108113,1
233446,FICHA_NO_EXISTE,733,3
233878,FICHA_NO_EXISTE,18089,3
234567,FICHA_NO_EXISTE,175940,2
235495,FICHA_NO_EXISTE,733,3
235696,FICHA_NO_EXISTE,820281,2
236940,FICHA_NO_EXISTE,126532,3
237137,FICHA_NO_EXISTE,160618,2
237172,FICHA_NO_EXISTE,197538,2
237952,FICHA_NO_EXISTE,128503,3
238150,FICHA_NO_EXISTE,9946,3
238672,FICHA_NO_EXISTE,144224,2
239220,FICHA_NO_EXISTE,197538,2
239867,FICHA_NO_EXISTE,115646,3
240450,FICHA_NO_EXISTE,191869,2
242049,FICHA_NO_EXISTE,122950,3
242110,FICHA_NO_EXISTE,128503,3
242833,FICHA_NO_EXISTE,198613,2
242878,FICHA_NO_EXISTE,91672,3
244069,FICHA_NO_EXISTE,733,3
244219,FICHA_NO_EXISTE,8753,3
244610,FICHA_NO_EXISTE,60808,2
244756,FICHA_NO_EXISTE,312,3
245008,FICHA_NO_EXISTE,115006,1
246777,FICHA_NO_EXISTE,129818,2
247101,FICHA_NO_EXISTE,55856,3
247183,FICHA_NO_EXISTE,121059,3
248920,FICHA_NO_EXISTE,108113,1
249230,FICHA_NO_EXISTE,167142,2
249905,FICHA_NO_EXISTE,312,3
249923,FICHA_NO_EXISTE,128503,3
